loginId,visits,female,game,teacher,eng_class,course_total,total_assm,total_time,avg_time,maxLevel,finalLevel,total_wk,m30_n,stay_30m
7237,15,1,1,3,31,91,114,6457,56.64035,12,12,6,9,11.95741
7238,19,1,1,3,31,82,92,5112,55.56522,10,10,8,8,10.65
7239,10,1,1,3,31,92,63,3569,56.65079,8,8,5,6,9.913889
7240,6,0,1,3,31,79,77,4178,54.25974,4,3,4,4,17.40833
7241,7,0,1,3,31,74,63,2898,46,3,2,6,6,8.05
7243,6,1,1,3,31,82,42,2394,57,8,8,2,2,19.95
7245,7,1,1,3,31,85,93,5365,57.68817,11,11,6,6,14.90278
7247,5,1,1,3,31,81,99,5575,56.31313,10,10,2,2,46.45833
7248,3,1,1,3,31,78,66,3431,51.98485,5,5,2,2,28.59167
7252,16,1,1,3,31,69,71,4058,57.15493,8,8,5,5,13.52667
7253,20,1,1,3,31,86,116,5730,49.39655,11,11,2,4,23.875
7254,50,1,1,3,31,92,102,5942,58.2549,8,8,8,10,9.903334
7255,5,1,1,3,32,91,80,4350,54.375,11,10,4,5,14.5
7258,9,1,1,3,32,59,49,2353,48.02041,4,4,5,5,7.843333
7260,13,0,1,3,32,85,94,5359,57.01064,13,13,7,7,12.75952
7261,5,1,1,3,32,81,23,1323,57.52174,5,5,3,3,7.35
7266,2,1,1,3,32,90,22,1220,55.45454,7,7,2,2,10.16667
7269,5,0,1,3,32,70,22,950,43.18182,3,1,3,3,5.277778
7271,2,0,1,3,33,78,11,426,38.72727,4,4,2,2,3.55
7272,10,1,1,3,33,79,34,1891,55.61765,6,6,2,4,7.879167
7277,7,1,1,3,33,95,19,1039,54.68421,6,6,5,6,2.886111
7278,5,1,1,3,33,79,27,1591,58.92593,5,4,2,2,13.25833
7282,9,1,1,3,33,90,40,2164,54.1,8,8,3,4,9.016666
7283,9,1,1,3,33,86,66,3566,54.0303,11,9,7,7,8.490477
7285,26,0,1,3,33,80,24,1395,58.125,8,8,2,2,11.625
7287,3,1,1,3,33,79,53,3118,58.83019,9,9,3,4,12.99167
7292,17,1,1,3,33,94,78,4577,58.67949,10,10,4,5,15.25667
7293,11,1,1,3,33,84,117,6835,58.4188,10,10,2,4,28.47917
7296,17,1,1,3,33,84,29,1442,49.72414,5,5,3,4,6.008333
7297,4,1,1,3,33,93,32,1612,50.375,9,9,2,3,8.955556
7300,6,1,1,3,34,89,70,4061,58.01429,10,9,4,4,16.92083
7301,6,1,1,3,34,97,29,1565,53.96552,7,7,2,2,13.04167
